ID,CoreDistance,ReachabilityDistance
0,0.4690415759823426,NaN
4,0.4582575694955844,0.4690415759823426
6,0.4582575694955844,0.4582575694955844
49,0.3316624790355397,0.4582575694955844
1,0.42426406871192834,0.3316624790355397
2,0.30000000000000016,0.3316624790355397
3,0.3316624790355407,0.30000000000000016
42,0.3162277660168373,0.30000000000000016
45,0.26457513110645925,0.30000000000000016
12,0.26457513110645925,0.26457513110645925
30,0.33166247903553997,0.26457513110645925
9,0.4690415759823426,0.26457513110645925
37,0.4690415759823426,0.26457513110645925
34,0.4690415759823426,0.26457513110645925
47,0.3605551275463996,0.30000000000000016
29,0.3464101615137758,0.30000000000000016
25,0.469041575982343,0.3000000000000002
38,0.46904157598234253,0.3162277660168373
35,0.37416573867739383,0.31622776601683783
8,0.4358898943540674,0.31622776601683816
13,0.3464101615137755,0.3162277660168382
17,0.1999999999999999,0.3316624790355397
11,0.4582575694955841,0.3316624790355397
7,0.42426406871192834,0.1999999999999999
28,0.49999999999999983,0.1999999999999999
40,0.4358898943540671,0.1999999999999999
39,0.4898979485566351,0.1999999999999999
27,0.24494897427831802,0.1999999999999999
21,0.41231056256176646,0.244948974278318
26,0.4999999999999999,0.2645751311064591
48,0.36055512754639896,0.24494897427831802
10,0.42426406871192884,0.2828427124746193
20,0.4472135954999582,0.3000000000000001
31,0.44721359549995826,0.30000000000000016
19,0.38729833462074226,0.31622776601683783
46,0.38729833462074226,0.33166247903554
36,0.4582575694955838,0.3605551275463988
16,0.46904157598234253,0.36055512754639896
5,0.3999999999999999,0.36055512754639896
24,0.47958315233127186,0.3741657386773938
43,0.4582575694955841,0.37416573867739417
32,0.45825756949558394,0.38729833462074226
44,0.41231056256176596,0.38729833462074226
18,0.46904157598234314,0.3999999999999999
23,0.46904157598234303,0.4123105625617662
33,0.4795831523312721,0.45825756949558394
22,NaN,0.4582575694955844
14,NaN,0.46904157598234253
15,NaN,0.4795831523312721
41,NaN,NaN
50,0.45825756949558427,NaN
52,0.346410161513776,0.45825756949558427
76,0.45825756949558427,0.346410161513776
86,0.3741657386773941,0.346410161513776
77,0.4242640687119286,0.346410161513776
51,0.4242640687119287,0.3741657386773941
75,0.31622776601683755,0.3741657386773941
54,0.43588989435406783,0.31622776601683755
65,0.43588989435406716,0.31622776601683755
74,0.4123105625617663,0.31622776601683755
58,0.4242640687119283,0.31622776601683755
97,0.4999999999999995,0.4123105625617663
110,0.48989794855663593,0.4242640687119286
147,0.49999999999999967,0.4242640687119286
91,0.4690415759823425,0.4242640687119287
56,0.48989794855663565,0.4242640687119287
71,0.4472135954999577,0.4358898943540677
63,0.47958315233127263,0.43588989435406783
61,0.45825756949558405,0.4472135954999577
67,0.4472135954999577,0.4472135954999577
82,0.4242640687119284,0.4472135954999577
64,NaN,0.4242640687119284
99,0.40000000000000036,0.4242640687119284
55,0.4690415759823426,0.40000000000000036
96,0.3872983346207417,0.40000000000000036
66,0.4242640687119289,0.3872983346207417
92,0.4898979485566356,0.3872983346207417
94,0.4690415759823433,0.3872983346207417
95,0.4358898943540674,0.3872983346207417
88,0.4582575694955845,0.3872983346207417
89,0.47958315233127186,0.40000000000000036
69,0.43588989435406744,0.4242640687119284
90,0.4795831523312723,0.42426406871192857
78,0.374165738677394,0.4242640687119289
84,0.4898979485566356,0.4242640687119289
73,0.4582575694955836,0.38729833462074176
138,0.47958315233127163,0.4358898943540673
53,0.4358898943540673,0.43588989435406744
80,0.42426406871192857,0.4358898943540673
79,0.44721359549995804,0.42426406871192857
81,0.4358898943540673,0.42426406871192857
85,0.4582575694955842,0.4582575694955842
70,0.46904157598234236,0.4582575694955842
127,0.4582575694955842,0.46904157598234236
83,0.49999999999999944,0.4582575694955842
126,0.469041575982343,0.4582575694955842
133,0.46904157598234264,0.4582575694955842
149,0.37416573867739383,0.4582575694955842
101,0.3605551275463989,0.37416573867739383
113,0.33166247903553986,0.3605551275463989
121,0.4898979485566353,0.33166247903553986
142,0.3605551275463989,0.33166247903553986
123,0.4795831523312724,0.4582575694955842
72,0.5,0.46904157598234264
146,0.47958315233127174,0.469041575982343
111,0.4242640687119281,0.469041575982343
103,0.38729833462074154,0.4242640687119281
116,0.5,0.38729833462074154
128,0.374165738677394,0.38729833462074154
104,0.5,0.374165738677394
132,0.43588989435406733,0.374165738677394
137,0.46904157598234314,0.38729833462074154
112,0.4358898943540671,0.45825756949558355
120,0.46904157598234314,0.4358898943540671
124,0.3872983346207416,0.4358898943540671
140,0.44721359549995776,0.3872983346207416
143,0.4898979485566359,0.3872983346207416
144,0.47958315233127174,0.3999999999999999
139,0.4123105625617659,0.4123105625617659
145,0.4242640687119287,0.4123105625617659
141,0.4690415759823433,0.4123105625617659
115,0.44721359549995776,0.4242640687119287
136,0.43588989435406783,0.44721359549995776
100,NaN,0.43588989435406783
148,NaN,0.43588989435406783
102,0.45825756949558427,0.46904157598234314
125,0.43588989435406733,0.45825756949558427
107,NaN,0.43588989435406733
129,NaN,0.43588989435406733
130,0.46904157598234325,0.45825756949558427
59,NaN,0.47958315233127186
114,NaN,0.4898979485566353
62,NaN,0.4898979485566356
119,NaN,0.5
57,0.4582575694955839,NaN
60,NaN,0.4582575694955839
98,NaN,0.4582575694955839
93,0.3872983346207416,0.4582575694955839
68,NaN,NaN
87,NaN,NaN
105,NaN,NaN
106,NaN,NaN
108,NaN,NaN
109,NaN,NaN
117,NaN,NaN
118,NaN,NaN
122,NaN,NaN
131,NaN,NaN
134,NaN,NaN
135,NaN,NaN
